epoch,optimizer_steps,train_negative_log_likelihood_per_path,validation_suffix_nll_per_exposure,validation_prefix_posterior_entropy,gradient_norm,uses_elbo,uses_lal_logic
5,5,46.817710876464844,4.830044746398926,1.097504734992981,1.7083852291107178,False,False
10,10,46.760311126708984,4.823679447174072,1.0965886116027832,1.6966960430145264,False,False
15,15,46.701229095458984,4.81708288192749,1.0952152013778687,1.7090948820114136,False,False
20,20,46.6379280090332,4.8098015785217285,1.0932409763336182,1.7511802911758423,False,False
25,25,46.56734085083008,4.801324367523193,1.0904676914215088,1.829621434211731,False,False
30,30,46.4853401184082,4.790926456451416,1.0865966081619263,1.9519163370132446,False,False
35,35,46.38554763793945,4.777414321899414,1.081047773361206,2.1289358139038086,False,False
40,40,46.25702667236328,4.7587690353393555,1.0726759433746338,2.376617431640625,False,False
45,45,46.0797004699707,4.7312846183776855,1.0594260692596436,2.718799352645874,False,False
50,50,45.81330871582031,4.687361717224121,1.0373823642730713,3.2113678455352783,False,False
55,55,45.36466598510742,4.609673500061035,0.9982619285583496,4.040402412414551,False,False
60,60,44.502872467041016,4.463109493255615,0.9253482222557068,5.528868198394775,False,False
65,65,43.32462692260742,4.322978496551514,0.8087125420570374,4.831537246704102,False,False
70,70,42.66748809814453,4.281432151794434,0.6895638108253479,4.94121789932251,False,False
75,75,42.17322540283203,4.252492427825928,0.5972998738288879,4.911980152130127,False,False
80,80,41.68074035644531,4.214041709899902,0.532522976398468,4.544267177581787,False,False
85,85,41.21144485473633,4.172572135925293,0.4902355670928955,4.0200066566467285,False,False
90,90,40.80226516723633,4.134387493133545,0.464388370513916,3.541626453399658,False,False
95,95,40.448822021484375,4.098943710327148,0.4488224983215332,3.2331624031066895,False,False
100,100,40.11741638183594,4.062211513519287,0.44008517265319824,3.0796267986297607,False,False
105,105,39.8096809387207,4.0266594886779785,0.43282923102378845,3.2058398723602295,False,False
110,110,39.51017379760742,3.9896605014801025,0.4115113914012909,2.765190601348877,False,False
115,115,39.239219665527344,3.954812526702881,0.4024756848812103,2.811073064804077,False,False
120,120,38.978214263916016,3.920644998550415,0.4018453359603882,2.7635765075683594,False,False
125,125,38.72014236450195,3.887557029724121,0.408804714679718,2.5429580211639404,False,False
130,130,38.46939468383789,3.857875347137451,0.41547805070877075,2.4166643619537354,False,False
135,135,38.22728729248047,3.8310062885284424,0.4263085722923279,2.346848726272583,False,False
140,140,37.99172592163086,3.808570146560669,0.4278281629085541,2.327728748321533,False,False
145,145,37.75807571411133,3.7919857501983643,0.42894211411476135,2.2733917236328125,False,False
150,150,37.52915573120117,3.778413772583008,0.4237421751022339,2.154559373855591,False,False
155,155,37.31217575073242,3.7653658390045166,0.41643887758255005,2.107125997543335,False,False
160,160,37.10065841674805,3.7522289752960205,0.40882399678230286,2.0313050746917725,False,False
165,165,36.89522171020508,3.7394497394561768,0.40115538239479065,1.9841312170028687,False,False
170,170,36.69358444213867,3.7269914150238037,0.392875999212265,1.9325369596481323,False,False
175,175,36.50114059448242,3.714381217956543,0.38347744941711426,1.85747492313385,False,False
180,180,36.3230094909668,3.7020936012268066,0.37390822172164917,1.7619831562042236,False,False
185,185,36.1628303527832,3.692659378051758,0.36567798256874084,1.6573305130004883,False,False
190,190,36.01943588256836,3.6843395233154297,0.35837799310684204,1.5633914470672607,False,False
195,195,35.889217376708984,3.6740334033966064,0.35133659839630127,1.5042561292648315,False,False
200,200,35.767154693603516,3.662675619125366,0.3451034426689148,1.4682730436325073,False,False
205,205,35.649784088134766,3.651931047439575,0.33979716897010803,1.4452840089797974,False,False
210,210,35.5357551574707,3.641892194747925,0.33468925952911377,1.4272278547286987,False,False
215,215,35.424903869628906,3.6329429149627686,0.329382061958313,1.40189790725708,False,False
220,220,35.317626953125,3.62591290473938,0.3239096701145172,1.3679965734481812,False,False
225,225,35.21428680419922,3.620323896408081,0.31832176446914673,1.32912015914917,False,False
230,230,35.11513900756836,3.615352153778076,0.3127395510673523,1.2873455286026,False,False
235,235,35.02055740356445,3.611114501953125,0.307283878326416,1.244120717048645,False,False
240,240,34.93072509765625,3.607569456100464,0.30195677280426025,1.200430154800415,False,False
245,245,34.845455169677734,3.6043713092803955,0.29677438735961914,1.158143401145935,False,False
250,250,34.76430130004883,3.601450204849243,0.29187312722206116,1.1189720630645752,False,False
255,255,34.68671798706055,3.598520278930664,0.287301629781723,1.0828431844711304,False,False
260,260,34.61233901977539,3.5958127975463867,0.2823545038700104,1.3301324844360352,False,False
265,265,34.547996520996094,3.5940091609954834,0.2762497067451477,3.8151023387908936,False,False
270,270,34.48896026611328,3.5909132957458496,0.27550041675567627,4.353589057922363,False,False
275,275,34.432437896728516,3.588203191757202,0.2686575651168823,4.834806442260742,False,False
280,280,34.375328063964844,3.586892604827881,0.26607343554496765,2.6379928588867188,False,False
285,285,34.32500457763672,3.5845682621002197,0.26020923256874084,3.0669848918914795,False,False
290,290,34.27592849731445,3.58337664604187,0.25603172183036804,1.2431429624557495,False,False
295,295,34.23239517211914,3.5819215774536133,0.25286969542503357,3.4317784309387207,False,False
300,300,34.193241119384766,3.5824732780456543,0.25013259053230286,6.285879135131836,False,False
