epoch,optimizer_steps,train_negative_log_likelihood_per_path,validation_suffix_nll_per_exposure,validation_prefix_posterior_entropy,gradient_norm,uses_elbo,uses_lal_logic
5,5,84.27031707763672,6.639618873596191,1.0982598066329956,137.3538818359375,False,False
10,10,62.630741119384766,5.088019371032715,1.098508358001709,103.66481018066406,False,False
15,15,49.757347106933594,4.484574317932129,1.0985901355743408,62.80495834350586,False,False
20,20,44.780601501464844,4.659727096557617,1.0985891819000244,20.159412384033203,False,False
25,25,44.31803512573242,4.7465033531188965,1.0985723733901978,19.546630859375,False,False
30,30,43.43873977661133,4.379636287689209,1.0983023643493652,18.166393280029297,False,False
35,35,41.8913459777832,4.318356990814209,1.0981848239898682,11.051565170288086,False,False
40,40,40.5544319152832,4.203225135803223,1.09805428981781,11.837990760803223,False,False
45,45,39.80238342285156,4.080498695373535,1.0983405113220215,13.522465705871582,False,False
50,50,39.15118408203125,4.082032203674316,1.09823739528656,5.257591724395752,False,False
55,55,38.67195510864258,4.056641578674316,1.0981018543243408,4.489243030548096,False,False
60,60,37.882164001464844,3.9942381381988525,1.0978096723556519,4.707159042358398,False,False
65,65,37.22213363647461,3.9877026081085205,1.0972126722335815,10.278684616088867,False,False
70,70,36.9591064453125,3.999779224395752,1.0966026782989502,4.756813049316406,False,False
75,75,36.704139709472656,3.952360153198242,1.0962673425674438,5.395394802093506,False,False
80,80,36.29655075073242,3.903808832168579,1.0956988334655762,3.182321786880493,False,False
85,85,36.1257209777832,3.916689157485962,1.0951207876205444,11.919576644897461,False,False
90,90,36.01845932006836,3.9399771690368652,1.0945615768432617,9.343756675720215,False,False
95,95,35.77033996582031,3.9338183403015137,1.0941188335418701,4.920306205749512,False,False
100,100,35.42509460449219,3.941389560699463,1.0936334133148193,7.3484296798706055,False,False
105,105,35.35639572143555,3.960616111755371,1.0931265354156494,7.116412162780762,False,False
110,110,35.14470291137695,3.976785182952881,1.0924499034881592,6.671496868133545,False,False
115,115,34.904510498046875,4.0100507736206055,1.0915731191635132,15.471513748168945,False,False
120,120,35.141536712646484,3.989112377166748,1.090429425239563,32.41181182861328,False,False
125,125,34.812442779541016,3.966826915740967,1.0897969007492065,36.72673034667969,False,False
130,130,34.57341003417969,4.004289627075195,1.0895460844039917,9.314248085021973,False,False
135,135,34.4302864074707,3.9882068634033203,1.0895658731460571,17.448097229003906,False,False
140,140,34.028900146484375,4.008073329925537,1.0878379344940186,13.925063133239746,False,False
145,145,33.6956787109375,4.031628131866455,1.087101697921753,7.956106185913086,False,False
150,150,33.57061767578125,4.065395355224609,1.085607647895813,4.7026190757751465,False,False
155,155,33.4964714050293,4.109877586364746,1.0848249197006226,6.667924404144287,False,False
160,160,33.109867095947266,4.110270023345947,1.0825663805007935,7.35122537612915,False,False
165,165,32.939178466796875,4.174357891082764,1.0812596082687378,15.044209480285645,False,False
170,170,32.610538482666016,4.101922988891602,1.0848757028579712,11.35364818572998,False,False
175,175,32.27762222290039,4.175937175750732,1.0872527360916138,22.211627960205078,False,False
180,180,32.30817794799805,4.166159152984619,1.0836817026138306,15.24335765838623,False,False
185,185,32.11325454711914,4.229000091552734,1.0823620557785034,45.63610076904297,False,False
190,190,31.878917694091797,4.189134120941162,1.0827244520187378,39.95722961425781,False,False
195,195,31.731351852416992,4.299777030944824,1.0826307535171509,41.98361587524414,False,False
200,200,31.805002212524414,4.2787017822265625,1.0822911262512207,55.30652618408203,False,False
205,205,31.870210647583008,4.317375659942627,1.0806584358215332,64.34093475341797,False,False
210,210,30.882083892822266,4.243142604827881,1.0823076963424683,31.703523635864258,False,False
215,215,30.485715866088867,4.292257308959961,1.08058500289917,29.914405822753906,False,False
220,220,30.52634048461914,4.350107192993164,1.0777184963226318,39.00642395019531,False,False
225,225,30.24891471862793,4.381783485412598,1.079033613204956,47.020782470703125,False,False
230,230,29.95057487487793,4.398132801055908,1.0755358934402466,40.68586349487305,False,False
235,235,29.7430419921875,4.390660285949707,1.0768862962722778,39.460269927978516,False,False
240,240,29.674100875854492,4.418618202209473,1.078761100769043,55.33149337768555,False,False
245,245,29.16693115234375,4.436607837677002,1.0777745246887207,42.771060943603516,False,False
250,250,28.993810653686523,4.503337860107422,1.0737531185150146,33.89326477050781,False,False
255,255,28.932823181152344,4.642737865447998,1.0721360445022583,60.7755241394043,False,False
260,260,28.60178565979004,4.584007263183594,1.0742334127426147,27.86345100402832,False,False
265,265,28.222049713134766,4.563408374786377,1.0751957893371582,36.947349548339844,False,False
270,270,27.942913055419922,4.6418538093566895,1.07277512550354,46.71551513671875,False,False
275,275,27.70103645324707,4.705277442932129,1.0684183835983276,60.54978942871094,False,False
280,280,27.285499572753906,4.659515380859375,1.0695703029632568,42.74854278564453,False,False
285,285,26.921463012695312,4.673661708831787,1.0674667358398438,40.90912628173828,False,False
290,290,27.185300827026367,4.861961841583252,1.0641694068908691,57.32805633544922,False,False
295,295,26.896188735961914,4.842041015625,1.0657778978347778,47.776222229003906,False,False
300,300,26.4307861328125,4.787812232971191,1.069515347480774,42.07912826538086,False,False
