epoch,optimizer_steps,train_negative_log_likelihood_per_path,validation_suffix_nll_per_exposure,validation_prefix_posterior_entropy,gradient_norm,uses_elbo,uses_lal_logic
5,5,46.822723388671875,4.838897705078125,1.0983141660690308,2.497443437576294,False,False
10,10,46.7763786315918,4.83552885055542,1.0975161790847778,2.4656386375427246,False,False
15,15,46.723690032958984,4.831090927124023,1.09615957736969,2.4493002891540527,False,False
20,20,46.661556243896484,4.825035095214844,1.0942715406417847,2.4487781524658203,False,False
25,25,46.58602523803711,4.816598892211914,1.0919420719146729,2.462963581085205,False,False
30,30,46.49160385131836,4.804783821105957,1.0891947746276855,2.4887964725494385,False,False
35,35,46.3701286315918,4.788137912750244,1.086055874824524,2.5232222080230713,False,False
40,40,46.208518981933594,4.76425313949585,1.082565188407898,2.568830728530884,False,False
45,45,45.98388671875,4.728607654571533,1.0787571668624878,2.647393226623535,False,False
50,50,45.653018951416016,4.672032833099365,1.074641466140747,2.825472354888916,False,False
55,55,45.17832565307617,4.5920329093933105,1.0700968503952026,2.99965238571167,False,False
60,60,44.8961181640625,4.542317867279053,1.064768671989441,4.350790023803711,False,False
65,65,44.56147384643555,4.464107513427734,1.0582469701766968,4.543265342712402,False,False
70,70,44.14421844482422,4.393768310546875,1.0512938499450684,3.9176151752471924,False,False
75,75,43.71842575073242,4.32519006729126,1.044433355331421,4.101702690124512,False,False
80,80,43.23635482788086,4.254947662353516,1.037773609161377,4.673789978027344,False,False
85,85,42.766780853271484,4.204370498657227,1.0316461324691772,4.7261457443237305,False,False
90,90,42.36065673828125,4.168999671936035,1.0258954763412476,4.363379955291748,False,False
95,95,41.99958801269531,4.1330366134643555,1.0203427076339722,4.422020435333252,False,False
100,100,41.700035095214844,4.11656379699707,1.015351414680481,3.9749817848205566,False,False
105,105,41.441688537597656,4.096704006195068,1.0104633569717407,4.032011985778809,False,False
110,110,41.21619415283203,4.085811138153076,1.00595223903656,3.756986379623413,False,False
115,115,41.01896286010742,4.0750041007995605,1.001644253730774,3.757075786590576,False,False
120,120,40.83863830566406,4.063595294952393,0.997527003288269,3.5115153789520264,False,False
125,125,40.668636322021484,4.0515899658203125,0.9936589002609253,3.3040359020233154,False,False
130,130,40.50368118286133,4.037304878234863,0.9901018142700195,3.1846303939819336,False,False
135,135,40.33628463745117,4.019868850708008,0.986906111240387,3.136272430419922,False,False
140,140,40.155094146728516,3.9964759349823,0.9841561317443848,3.2953968048095703,False,False
145,145,39.9725341796875,3.972850799560547,0.981708288192749,3.132061004638672,False,False
150,150,39.778018951416016,3.953068971633911,0.9792805314064026,3.0563461780548096,False,False
155,155,39.57588577270508,3.9323716163635254,0.9772264957427979,3.0136301517486572,False,False
160,160,39.367008209228516,3.908040761947632,0.9756551384925842,3.000124216079712,False,False
165,165,39.154563903808594,3.8875539302825928,0.9742511510848999,3.029062509536743,False,False
170,170,38.9378662109375,3.8738999366760254,0.9729880690574646,3.020456075668335,False,False
175,175,38.71455383300781,3.8600666522979736,0.9719900488853455,2.9855947494506836,False,False
180,180,38.4855842590332,3.844376564025879,0.9711946249008179,2.915578603744507,False,False
185,185,38.25706100463867,3.8313539028167725,0.9703847169876099,2.8476650714874268,False,False
190,190,38.02635955810547,3.815936326980591,0.96918785572052,2.8316097259521484,False,False
195,195,37.7920036315918,3.7994191646575928,0.9678181409835815,2.8228626251220703,False,False
200,200,37.54641342163086,3.7789227962493896,0.9666010737419128,2.8380014896392822,False,False
205,205,37.283897399902344,3.755056619644165,0.965221643447876,2.86276912689209,False,False
210,210,37.0054931640625,3.727609395980835,0.9632570743560791,2.880779266357422,False,False
215,215,36.713497161865234,3.7001614570617676,0.9609136581420898,2.8807551860809326,False,False
220,220,36.41876220703125,3.6770668029785156,0.9575148820877075,2.7989439964294434,False,False
225,225,36.148616790771484,3.660855770111084,0.9523457884788513,2.6520612239837646,False,False
230,230,35.92237091064453,3.6574292182922363,0.9449729323387146,2.4073197841644287,False,False
235,235,35.73687744140625,3.644697427749634,0.9366261959075928,2.1593618392944336,False,False
240,240,35.57476806640625,3.634881019592285,0.9314049482345581,2.042229175567627,False,False
245,245,35.441471099853516,3.6254308223724365,0.9288747906684875,1.7894136905670166,False,False
250,250,35.32855987548828,3.6177620887756348,0.9262352585792542,1.5520763397216797,False,False
255,255,35.23229217529297,3.615556478500366,0.9243013262748718,1.4318326711654663,False,False
260,260,35.14287185668945,3.6093952655792236,0.9234983921051025,1.3387888669967651,False,False
265,265,35.05961227416992,3.6033003330230713,0.9219653010368347,1.2221859693527222,False,False
270,270,34.9791145324707,3.5966622829437256,0.9207038283348083,1.1545323133468628,False,False
275,275,34.90077209472656,3.5901033878326416,0.9189350605010986,1.0753260850906372,False,False
280,280,34.82482147216797,3.5829625129699707,0.9171790480613708,1.0598187446594238,False,False
285,285,34.768253326416016,3.580735445022583,0.9161208271980286,7.363421440124512,False,False
290,290,34.687931060791016,3.5783326625823975,0.9109994769096375,1.3617109060287476,False,False
295,295,34.63392639160156,3.5803582668304443,0.9088774919509888,5.091998100280762,False,False
300,300,34.57400894165039,3.5875022411346436,0.9075388312339783,3.1442155838012695,False,False
