epoch,optimizer_steps,train_negative_mc_log_posterior_per_path,validation_suffix_nll_per_exposure,validation_prefix_cluster_entropy,validation_prior_attention_diagonal,validation_prefix_posterior_attention_diagonal,mean_matrix_hyperprior_penalty,mean_abs_mean_matrix_minus_identity,minimum_mean_matrix_eigenvalue,maximum_mean_matrix_eigenvalue,gradient_norm,degrees_of_freedom,train_samples,validation_samples,uses_local_w_parameters,uses_elbo,uses_lal_logic,w_is_integrated_by_monte_carlo
5,5,266.4409484863281,22.350645065307617,0.00018551597895566374,0.5964023470878601,0.5956954956054688,0.051482200622558594,0.024945992976427078,0.8228164911270142,1.1978839635849,398.82958984375,20,4,16,False,False,False,True
10,10,183.98516845703125,14.756011962890625,7.009543310232402e-07,0.589581310749054,0.5906559228897095,0.17783737182617188,0.04181993007659912,0.6603014469146729,1.3126014471054077,355.27374267578125,20,4,16,False,False,False,True
15,15,118.08856201171875,9.059228897094727,7.243157824632362e-07,0.5754876136779785,0.5765863060951233,0.4181647300720215,0.059957049787044525,0.5081619620323181,1.5290642976760864,280.5257873535156,20,4,16,False,False,False,True
20,20,72.95856475830078,5.6160664558410645,6.353900516842259e-06,0.5519091486930847,0.5513533353805542,0.806736946105957,0.07832687348127365,0.37537479400634766,1.87904691696167,177.0199432373047,20,4,16,False,False,False,True
25,25,49.501346588134766,4.427777290344238,0.007655614521354437,0.5201467275619507,0.519463062286377,1.3532953262329102,0.09778023511171341,0.2676447331905365,2.3449862003326416,69.76951599121094,20,4,16,False,False,False,True
30,30,44.72810745239258,4.4967265129089355,0.2728975713253021,0.4900592267513275,0.4901217222213745,1.9539432525634766,0.12043783813714981,0.19170889258384705,2.7814929485321045,15.31231689453125,20,4,16,False,False,False,True
35,35,43.304588317871094,4.308257102966309,0.27743470668792725,0.47937843203544617,0.4792516827583313,2.2298049926757812,0.1320466697216034,0.1628473699092865,2.853177547454834,16.390079498291016,20,4,16,False,False,False,True
40,40,41.809635162353516,4.055116176605225,0.1385570913553238,0.47670984268188477,0.4792454242706299,2.292451858520508,0.14045721292495728,0.1599167436361313,2.916440486907959,11.885339736938477,20,4,16,False,False,False,True
45,45,40.63295364379883,4.000612735748291,0.3144032657146454,0.47534602880477905,0.47785866260528564,2.3457775115966797,0.1492728888988495,0.15796561539173126,3.0424106121063232,12.021815299987793,20,4,16,False,False,False,True
50,50,38.792686462402344,3.8454854488372803,0.44009917974472046,0.4736761450767517,0.4756058156490326,2.3873043060302734,0.1576172113418579,0.15220369398593903,3.2492823600769043,9.255158424377441,20,4,16,False,False,False,True
55,55,38.08244705200195,3.811638116836548,0.4301966428756714,0.4646074175834656,0.464577317237854,2.476778030395508,0.17102253437042236,0.14529824256896973,3.6123507022857666,8.494887351989746,20,4,16,False,False,False,True
60,60,37.534481048583984,3.748619318008423,0.3904203176498413,0.45007842779159546,0.4493582844734192,2.6071929931640625,0.18819963932037354,0.14340008795261383,4.025276184082031,6.399546146392822,20,4,16,False,False,False,True
65,65,37.071937561035156,3.7507808208465576,0.3797566294670105,0.4376063942909241,0.4361686706542969,2.7380619049072266,0.20148712396621704,0.14523945748806,4.352102756500244,6.9088335037231445,20,4,16,False,False,False,True
70,70,36.49300003051758,3.7414116859436035,0.37321600317955017,0.4270494282245636,0.4258973002433777,2.895477294921875,0.21193714439868927,0.14538559317588806,4.604099273681641,5.4336442947387695,20,4,16,False,False,False,True
75,75,36.29416275024414,3.713489055633545,0.3542286455631256,0.4212164282798767,0.42046865820884705,3.005594253540039,0.21638843417167664,0.14433716237545013,4.7442097663879395,6.955936908721924,20,4,16,False,False,False,True
