epoch,optimizer_steps,train_negative_mc_log_posterior_per_path,validation_suffix_nll_per_exposure,validation_prefix_cluster_entropy,validation_prior_attention_diagonal,validation_prefix_posterior_attention_diagonal,mean_matrix_hyperprior_penalty,mean_abs_mean_matrix_minus_identity,minimum_mean_matrix_eigenvalue,maximum_mean_matrix_eigenvalue,gradient_norm,degrees_of_freedom,train_samples,validation_samples,uses_local_w_parameters,uses_elbo,uses_lal_logic,w_is_integrated_by_monte_carlo
5,5,48.2805290222168,5.027532577514648,1.0870282649993896,0.5982128381729126,0.5963063836097717,0.042079925537109375,0.02381756715476513,0.8334077000617981,1.1983716487884521,4.559304237365723,20,4,16,False,False,False,True
10,10,47.42524337768555,4.870092868804932,1.0882267951965332,0.5928882360458374,0.591124415397644,0.11102533340454102,0.03758610412478447,0.7527468800544739,1.3376816511154175,4.302922248840332,20,4,16,False,False,False,True
15,15,46.46739959716797,4.679835796356201,1.0879673957824707,0.5850235223770142,0.5831676721572876,0.2145366668701172,0.04991266131401062,0.6721178293228149,1.5389374494552612,5.137150764465332,20,4,16,False,False,False,True
20,20,45.03883361816406,4.454113006591797,1.081233263015747,0.5718600153923035,0.569887101650238,0.3906974792480469,0.06651561707258224,0.5768837332725525,1.8322199583053589,6.719088554382324,20,4,16,False,False,False,True
25,25,42.78188705444336,4.2003493309021,1.0567364692687988,0.5534178614616394,0.5515695810317993,0.6489877700805664,0.08843914419412613,0.47743481397628784,2.1960866451263428,8.471918106079102,20,4,16,False,False,False,True
30,30,39.98588180541992,3.9408740997314453,0.9915475845336914,0.5326099991798401,0.5310633778572083,0.9674873352050781,0.11288178712129593,0.38384464383125305,2.5609147548675537,7.9039812088012695,20,4,16,False,False,False,True
35,35,38.76762771606445,3.834831476211548,0.8192126750946045,0.514578104019165,0.5138751268386841,1.2654857635498047,0.13250993192195892,0.31701353192329407,2.7722256183624268,6.351212501525879,20,4,16,False,False,False,True
40,40,38.073753356933594,3.792231321334839,0.7770923376083374,0.4993034899234772,0.4981643557548523,1.523188591003418,0.14563505351543427,0.2759650945663452,2.9527769088745117,8.597176551818848,20,4,16,False,False,False,True
45,45,37.42702865600586,3.705349922180176,0.666667103767395,0.4851873219013214,0.48358047008514404,1.7827539443969727,0.15564104914665222,0.246503546833992,3.2371108531951904,3.5079948902130127,20,4,16,False,False,False,True
50,50,37.022857666015625,3.6566784381866455,0.5699167251586914,0.46895331144332886,0.4670895040035248,2.107332229614258,0.16583356261253357,0.22523583471775055,3.595158576965332,4.939641952514648,20,4,16,False,False,False,True
55,55,36.072906494140625,3.6313390731811523,0.4811921715736389,0.44680050015449524,0.4449288547039032,2.532459259033203,0.1804998517036438,0.20484045147895813,4.007023334503174,3.0941824913024902,20,4,16,False,False,False,True
60,60,35.85908126831055,3.605691909790039,0.44059184193611145,0.4240491986274719,0.42310631275177,2.985088348388672,0.1994871348142624,0.18632470071315765,4.399264812469482,5.8668951988220215,20,4,16,False,False,False,True
65,65,35.5977897644043,3.5804898738861084,0.4298345744609833,0.4047148823738098,0.40503332018852234,3.4221439361572266,0.21566589176654816,0.16118133068084717,4.6724748611450195,6.105914115905762,20,4,16,False,False,False,True
70,70,35.39561462402344,3.567091703414917,0.40827327966690063,0.3904135823249817,0.3912522494792938,3.805220603942871,0.22686147689819336,0.1376410573720932,4.856780052185059,2.7817764282226562,20,4,16,False,False,False,True
75,75,35.375213623046875,3.5681424140930176,0.363206148147583,0.38081878423690796,0.3812097907066345,4.127025604248047,0.2358112335205078,0.11751611530780792,4.966889381408691,4.885384559631348,20,4,16,False,False,False,True
80,80,35.180397033691406,3.550122022628784,0.3547981381416321,0.37336620688438416,0.3738902509212494,4.402346611022949,0.24417634308338165,0.10772497206926346,5.073986053466797,4.751272678375244,20,4,16,False,False,False,True
85,85,35.398536682128906,3.5489776134490967,0.3697959780693054,0.36667975783348083,0.36782655119895935,4.656328201293945,0.25203055143356323,0.10180939733982086,5.184329032897949,5.989615440368652,20,4,16,False,False,False,True
90,90,35.098751068115234,3.5497398376464844,0.3463500440120697,0.3607170581817627,0.3616163432598114,4.903247833251953,0.2579953670501709,0.0971996858716011,5.2929792404174805,5.552840709686279,20,4,16,False,False,False,True
95,95,34.87931823730469,3.5629966259002686,0.32188504934310913,0.3563830554485321,0.35719648003578186,5.112255096435547,0.2631255090236664,0.09174469858407974,5.388981819152832,3.303009510040283,20,4,16,False,False,False,True
100,100,34.84345626831055,3.563356399536133,0.310317724943161,0.3537605106830597,0.35455000400543213,5.303047180175781,0.2651800215244293,0.08556821197271347,5.460223197937012,4.817750930786133,20,4,16,False,False,False,True
105,105,34.87358474731445,3.558084487915039,0.30551567673683167,0.35246095061302185,0.35327792167663574,5.462217330932617,0.2659025192260742,0.07843928784132004,5.4990925788879395,5.583621978759766,20,4,16,False,False,False,True
110,110,34.67253875732422,3.553853750228882,0.30294129252433777,0.3513016700744629,0.3520246148109436,5.639400482177734,0.2670396566390991,0.07077090442180634,5.519845962524414,10.58895492553711,20,4,16,False,False,False,True
115,115,34.67774200439453,3.553086519241333,0.29804733395576477,0.35113346576690674,0.35157594084739685,5.785799026489258,0.26723185181617737,0.06356555968523026,5.5278191566467285,6.713090896606445,20,4,16,False,False,False,True
