architecture,parameterization,suffix_nll_mean,suffix_nll_sd,full_nll_mean,prefix_purity_mean,prefix_ari_mean,full_purity_mean,full_purity_sd,full_ari_mean,full_ari_sd,minimum_full_active_k
cotic,lal_fixed,3.659475326538086,0.0004981584339458676,3.950373331705729,0.7583724569640062,0.482672648416546,0.8923317683881065,0.001954615961939987,0.7268424032280012,0.004177849609223863,3
cotic,output_split,3.636450211207072,0.0008768999146501887,3.9271062215169272,0.8475743348982786,0.607651050815324,0.9427230046948356,0.0018779342723004994,0.8391550947293371,0.004944287531479442,3
nhp,lal_fixed,3.471363385518392,0.00020256381659107214,3.8744870821634927,0.822848200312989,0.5620726938374186,0.9242566510172144,0.0005421129288165226,0.7936148832606444,0.0012485333357703128,3
nhp,output_split,3.460094610850016,0.00042794270948581776,3.841730833053589,0.812206572769953,0.5423374285444118,0.9242566510172144,0.0014342959921614432,0.794737563120251,0.0035795542681160723,3
thp,lal_fixed,3.482394218444824,0.0009771608951457075,3.831406911214193,0.8500782472613458,0.6074281300885093,0.9352112676056339,0.0016263387864496317,0.8177151390699269,0.004394850725361799,3
thp,output_split,3.4639624754587808,0.000841548025716671,3.817472298940023,0.8604068857589985,0.6345323482141011,0.9508607198748044,0.002710564644082789,0.8600771607151035,0.007574955362979055,3
