architecture,parameterization,no_w_suffix_nll,no_w_full_purity,no_w_full_ari,wishart_suffix_nll_256_mean,wishart_suffix_nll_256_sd,wishart_full_purity_256_mean,wishart_full_ari_256_mean,wishart_minimum_active_k
nhp,output_split,3.5510454177856445,0.9417840375586854,0.835056427571205,3.460094610850016,0.00042794270948581776,0.9242566510172144,0.794737563120251,3
nhp,lal_fixed,3.5776076316833496,0.49765258215962443,0.10375132869162611,3.471363385518392,0.00020256381659107214,0.9242566510172144,0.7936148832606444,3
thp,output_split,3.628966808319092,0.8788732394366198,0.6826474209133759,3.4639624754587808,0.000841548025716671,0.9508607198748044,0.8600771607151035,3
thp,lal_fixed,3.53585147857666,0.5136150234741784,0.1062106619900795,3.482394218444824,0.0009771608951457075,0.9352112676056339,0.8177151390699269,3
cotic,output_split,3.899844169616699,0.3333333333333333,0.0,3.636450211207072,0.0008768999146501887,0.9427230046948356,0.8391550947293371,3
cotic,lal_fixed,3.8729381561279297,0.4,0.0125639463926392,3.659475326538086,0.0004981584339458676,0.8923317683881065,0.7268424032280012,3
