architecture,parameterization,best_epoch,minimum_mean_eigenvalue,maximum_mean_eigenvalue,mean_matrix_gate,mean_attention_diagonal,normalized_prefix_joint_ess,normalized_full_joint_ess
nhp,output_split,270,6.174931331770495e-05,7.925539016723633,"[0.18956147134304047, 0.3428974151611328, 0.46754106879234314]",0.32088592648506165,0.3990749418735504,0.24402551352977753
nhp,lal_fixed,190,0.011122914031147957,9.147359848022461,"[0.40279579162597656, 0.255445271730423, 0.3417588174343109]",0.23981627821922302,0.4313124418258667,0.2651332914829254
thp,output_split,210,0.025297148153185844,6.231391429901123,"[0.3493574261665344, 0.3125513195991516, 0.33809128403663635]",0.39113345742225647,0.2847857177257538,0.178786501288414
thp,lal_fixed,155,0.045169997960329056,5.833756446838379,"[0.2969958484172821, 0.34801414608955383, 0.3549899160861969]",0.42743638157844543,0.3083811104297638,0.16609103977680206
cotic,output_split,95,0.12588518857955933,5.19126033782959,"[0.3356243968009949, 0.35127371549606323, 0.3131018877029419]",0.5261057615280151,0.2739448845386505,0.15130747854709625
cotic,lal_fixed,135,0.021053237840533257,6.0619049072265625,"[0.15625014901161194, 0.31876176595687866, 0.5249881148338318]",0.4327928125858307,0.3304266631603241,0.20184457302093506
