architecture,parameterization,repeat,samples,suffix_nll_per_exposure,full_nll_per_exposure,prefix_purity,prefix_ari,full_purity,full_ari,prefix_active_k,full_active_k
nhp,output_split,0,256,3.460573434829712,3.84205961227417,0.812206572769953,0.5430268489710852,0.9258215962441314,0.7986720151959461,3,3
nhp,output_split,1,256,3.4599609375,3.841601610183716,0.812206572769953,0.5425096605536572,0.9230046948356807,0.7916733986582284,3,3
nhp,output_split,2,256,3.459749460220337,3.841531276702881,0.812206572769953,0.5414757761084931,0.923943661971831,0.7938672755065785,3,3
nhp,lal_fixed,0,256,3.4712636470794678,3.87441086769104,0.8244131455399061,0.5659284496746967,0.9248826291079812,0.7950512193985003,3,3
nhp,lal_fixed,1,256,3.4712300300598145,3.874478340148926,0.8215962441314554,0.5586186629862893,0.923943661971831,0.7930041366274108,3,3
nhp,lal_fixed,2,256,3.4715964794158936,3.8745720386505127,0.8225352112676056,0.5616709688512701,0.923943661971831,0.7927892937560223,3,3
thp,output_split,0,256,3.4630165100097656,3.816819190979004,0.8619718309859155,0.638306978635466,0.9492957746478873,0.8557037581971881,3,3
thp,output_split,1,256,3.464627981185913,3.817657232284546,0.8582159624413146,0.6295016307601147,0.9492957746478873,0.8557037581971881,3,3
thp,output_split,2,256,3.464242935180664,3.8179404735565186,0.8610328638497653,0.6357884352467223,0.9539906103286385,0.8688239657509342,3,3
thp,lal_fixed,0,256,3.4826772212982178,3.8315653800964355,0.8497652582159625,0.6069265557945854,0.9342723004694836,0.8150902638159054,3,3
thp,lal_fixed,1,256,3.481306791305542,3.8306307792663574,0.8507042253521127,0.6086443800879212,0.9342723004694836,0.815266295622113,3,3
thp,lal_fixed,2,256,3.483198642730713,3.832024574279785,0.8497652582159625,0.6067134543830212,0.9370892018779343,0.822788857771762,3,3
cotic,output_split,0,256,3.6357853412628174,3.926588535308838,0.847887323943662,0.6084399233849763,0.9427230046948357,0.8390550177642373,3,3
cotic,output_split,1,256,3.637444019317627,3.9275825023651123,0.8497652582159625,0.6126966585930335,0.9446009389671362,0.8441486610660348,3,3
cotic,output_split,2,256,3.6361212730407715,3.927147626876831,0.8450704225352113,0.601816570467962,0.9408450704225352,0.8342616053577392,3,3
cotic,lal_fixed,0,256,3.660050392150879,3.950754165649414,0.7577464788732394,0.48098408554407435,0.8901408450704226,0.7221410527217911,3,3
cotic,lal_fixed,1,256,3.6591761112213135,3.9501442909240723,0.7624413145539906,0.4886007908609313,0.8929577464788733,0.728256379532345,3,3
cotic,lal_fixed,2,256,3.6591994762420654,3.950221538543701,0.7549295774647887,0.4784330688446324,0.8938967136150234,0.7301297774298676,3,3
